From	To	Species	Gene Name
ENSSSCG00000017403	733648	Sus scrofa	signal transducer and activator of transcription 3(STAT3)
ENSSSCG00000012295	100514936	Sus scrofa	MAGI family member, X-linked(MAGIX)
ENSSSCG00000008985	100523320	Sus scrofa	sosondowah ankyrin repeat domain family member B(SOWAHB)
ENSSSCG00000026082	100154166	Sus scrofa	DnaJ heat shock protein family (Hsp40) member C3(DNAJC3)
ENSSSCG00000010032	100153506	Sus scrofa	phosphatidylserine decarboxylase(PISD)
ENSSSCG00000003839	100512419	Sus scrofa	phospholipid phosphatase 3(PLPP3)
ENSSSCG00000014908	100519041	Sus scrofa	coiled-coil domain containing 89(CCDC89)
ENSSSCG00000009825	100513685	Sus scrofa	PTC7 protein phosphatase homolog(PPTC7)
ENSSSCG00000004366	100153106	Sus scrofa	blood vessel epicardial substance(BVES)
ENSSSCG00000008792	100512116	Sus scrofa	NEDD4 binding protein 2(N4BP2)
ENSSSCG00000004172	100517381	Sus scrofa	solute carrier family 2 member 12(SLC2A12)
ENSSSCG00000004367	100151910	Sus scrofa	popeye domain containing 3(POPDC3)
ENSSSCG00000004369	100154284	Sus scrofa	PR/SET domain 1(PRDM1)
ENSSSCG00000008980	414407	Sus scrofa	scavenger receptor class B member 2(SCARB2)
ENSSSCG00000017416	100524520	Sus scrofa	DExH-box helicase 58(DHX58)
ENSSSCG00000029708	100622220	Sus scrofa	solute carrier family 25 member 38(SLC25A38)
ENSSSCG00000025588	100626682	Sus scrofa	four jointed box 1(FJX1)
ENSSSCG00000027340	100737496	Sus scrofa	phosphatidylinositol 4-kinase type 2-beta-like(LOC100737496)
ENSSSCG00000007458	100135659	Sus scrofa	nuclear receptor coactivator 3(NCOA3)
ENSSSCG00000000457	100524085	Sus scrofa	ubiquitin specific peptidase 15(USP15)
ENSSSCG00000008977	494019	Sus scrofa	C-X-C motif chemokine ligand 10(CXCL10)
ENSSSCG00000012277	396862	Sus scrofa	TIMP metallopeptidase inhibitor 1(TIMP1)
ENSSSCG00000010046	100151867	Sus scrofa	G protein subunit alpha z(GNAZ)
ENSSSCG00000017420	100511587	Sus scrofa	2',3'-cyclic nucleotide 3' phosphodiesterase(CNP)
ENSSSCG00000021586	100152952	Sus scrofa	zinc fingers and homeoboxes 2(ZHX2)
ENSSSCG00000012482	100153130	Sus scrofa	sushi repeat containing protein, X-linked 2(SRPX2)
ENSSSCG00000010042	100152690	Sus scrofa	zinc finger protein 280B(ZNF280B)
ENSSSCG00000026832	100513084	Sus scrofa	colony stimulating factor 1 (macrophage)(CSF1)
ENSSSCG00000008978	100169744	Sus scrofa	C-X-C motif chemokine ligand 11(CXCL11)
ENSSSCG00000017698	396668	Sus scrofa	chemokine (C-C motif) ligand 4(CCL4)
ENSSSCG00000009396	100518446	Sus scrofa	PHD finger protein 11(PHF11)
ENSSSCG00000004167	100152439	Sus scrofa	MYB proto-oncogene, transcription factor(MYB)
ENSSSCG00000010911	100523859	Sus scrofa	zinc finger protein 281(ZNF281)
ENSSSCG00000009395	100157885	Sus scrofa	SET domain bifurcated 2(SETDB2)
ENSSSCG00000009833	100154922	Sus scrofa	SH2B adaptor protein 3(SH2B3)
ENSSSCG00000008599	100523732	Sus scrofa	b(0,+)-type amino acid transporter 1-like(LOC100523732)
ENSSSCG00000026647	100522940	Sus scrofa	out at first homolog(OAF)
ENSSSCG00000001726	100158176	Sus scrofa	adhesion G protein-coupled receptor F1(ADGRF1)
ENSSSCG00000004338	102160171	Sus scrofa	fucosyltransferase 9(FUT9)
ENSSSCG00000004142	100156022	Sus scrofa	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2(CITED2)
ENSSSCG00000004336	100154222	Sus scrofa	EPH receptor A7(EPHA7)
ENSSSCG00000030731	100622791	Sus scrofa	BOLA class I histocompatibility antigen, alpha chain BL3-7(LOC100622791)
ENSSSCG00000000488	100125959	Sus scrofa	MDM2 proto-oncogene(MDM2)
ENSSSCG00000001720	100157774	Sus scrofa	solute carrier family 25 member 27(SLC25A27)
ENSSSCG00000027354	100625556	Sus scrofa	immunoglobulin-like domain-containing receptor 2(LOC100625556)
ENSSSCG00000029200	100627416	Sus scrofa	tripartite motif-containing protein 2(LOC100627416)
ENSSSCG00000010211	100155896	Sus scrofa	coiled-coil domain containing 6(CCDC6)
ENSSSCG00000023325	396930	Sus scrofa	aminoacylase 1(ACY1)
ENSSSCG00000028875	100522045	Sus scrofa	hepatitis A virus cellular receptor 2(HAVCR2)
ENSSSCG00000020882	100156062	Sus scrofa	apolipoprotein L3(LOC100156062)
ENSSSCG00000015565	100516567	Sus scrofa	chromosome 9 open reading frame, human C1orf21(C9H1orf21)
ENSSSCG00000021419	100620250	Sus scrofa	transmembrane and TPR repeat-containing protein 2-like(LOC100620250)
ENSSSCG00000015563	100515847	Sus scrofa	ral guanine nucleotide dissociation stimulator like 1(RGL1)
ENSSSCG00000003811	100520620	Sus scrofa	receptor tyrosine kinase like orphan receptor 1(ROR1)
ENSSSCG00000004138	100525369	Sus scrofa	human immunodeficiency virus type I enhancer binding protein 2(HIVEP2)
ENSSSCG00000008799	100515040	Sus scrofa	LIM and calponin homology domains 1(LIMCH1)
ENSSSCG00000020886	102157435	Sus scrofa	proline-, glutamic acid- and leucine-rich protein 1-like(LOC102157435)
ENSSSCG00000009844	100155338	Sus scrofa	heat shock protein beta-8(LOC100155338)
ENSSSCG00000004154	100622156	Sus scrofa	TNF alpha induced protein 3(TNFAIP3)
ENSSSCG00000009132	397080	Sus scrofa	glutamyl aminopeptidase(ENPEP)
ENSSSCG00000017433	100737113	Sus scrofa	keratin, type I cytoskeletal 17(LOC100737113)
ENSSSCG00000007286	100153866	Sus scrofa	acyl-CoA synthetase short-chain family member 2(ACSS2)
ENSSSCG00000021206	100628318	Sus scrofa	interleukin 1 receptor accessory protein(IL1RAP)
ENSSSCG00000007486	397145	Sus scrofa	cytochrome P450, family 24, subfamily A, polypeptide 1(CYP24A1)
ENSSSCG00000007485	100126238	Sus scrofa	breast carcinoma amplified sequence 1(BCAS1)
ENSSSCG00000031011	100516533	Sus scrofa	coiled-coil domain containing 160(CCDC160)
ENSSSCG00000030548	100518083	Sus scrofa	E3 ISG15--protein ligase HERC5(LOC100518083)
ENSSSCG00000017448	100515339	Sus scrofa	keratin 19(KRT19)
ENSSSCG00000027564	100157325	Sus scrofa	lin-52 DREAM MuvB core complex component(LIN52)
ENSSSCG00000007212	100154679	Sus scrofa	chromosome 17 open reading frame, human C20orf96(C17H20orf96)
ENSSSCG00000010276	733600	Sus scrofa	unc-5 netrin receptor B(UNC5B)
ENSSSCG00000017445	100515166	Sus scrofa	keratin, type I cytoskeletal 13(LOC100515166)
ENSSSCG00000028813	100520390	Sus scrofa	surfactant associated 2(SFTA2)
ENSSSCG00000027376	102157898	Sus scrofa	formin like 3(FMNL3)
ENSSSCG00000010272	100153539	Sus scrofa	ADAM metallopeptidase with thrombospondin type 1 motif 14(ADAMTS14)
ENSSSCG00000011928	100516578	Sus scrofa	coiled-coil domain containing 80(CCDC80)
ENSSSCG00000000647	396724	Sus scrofa	oxidized low density lipoprotein receptor 1(OLR1)
ENSSSCG00000026803	444993	Sus scrofa	TXK tyrosine kinase(TXK)
ENSSSCG00000000843	396681	Sus scrofa	thioredoxin reductase 1(TXNRD1)
ENSSSCG00000011924	100515759	Sus scrofa	GTP binding protein 8 (putative)(GTPBP8)
ENSSSCG00000000015	397558	Sus scrofa	uroplakin 3A(UPK3A)
ENSSSCG00000007492	100134989	Sus scrofa	family with sequence similarity 210 member B(FAM210B)
ENSSSCG00000026407	100628094	Sus scrofa	non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)(NCCRP1)
ENSSSCG00000025545	100621798	Sus scrofa	histone deacetylase 6(HDAC6)
ENSSSCG00000026693	106506957	Sus scrofa	MAM domain-containing protein 2-like(LOC106506957)
ENSSSCG00000009157	100521465	Sus scrofa	methylcytosine dioxygenase TET2(LOC100521465)
ENSSSCG00000000839	100151976	Sus scrofa	aldehyde dehydrogenase 1 family member L2(ALDH1L2)
ENSSSCG00000011106	100512363	Sus scrofa	cAMP responsive element modulator(CREM)
ENSSSCG00000012238	100526026	Sus scrofa	tetraspanin 7(TSPAN7)
ENSSSCG00000004125	100152253	Sus scrofa	syntaxin 11(STX11)
ENSSSCG00000006359	100157276	Sus scrofa	ADAM metallopeptidase with thrombospondin type 1 motif 4(ADAMTS4)
ENSSSCG00000008554	100525041	Sus scrofa	abhydrolase domain containing 1(ABHD1)
ENSSSCG00000011934	100518335	Sus scrofa	phosphatidylinositol specific phospholipase C X domain containing 2(PLCXD2)
ENSSSCG00000008553	100522734	Sus scrofa	prolactin regulatory element binding(PREB)
ENSSSCG00000015864	100737623	Sus scrofa	myosin VIIB(MYO7B)
ENSSSCG00000021429	100736918	Sus scrofa	chromosome 13 open reading frame, human C21orf91(C13H21orf91)
ENSSSCG00000028620	100626343	Sus scrofa	ATP binding cassette subfamily D member 3(ABCD3)
ENSSSCG00000011102	100286859	Sus scrofa	neuropilin 1(NRP1)
ENSSSCG00000000021	100533202	Sus scrofa	Rho GTPase activating protein 8(ARHGAP8)
ENSSSCG00000027396	100623777	Sus scrofa	FOS like 2, AP-1 transcription factor subunit(FOSL2)
ENSSSCG00000017466	396663	Sus scrofa	C-C motif chemokine receptor 7(CCR7)
ENSSSCG00000000449	100620343	Sus scrofa	probable E3 ubiquitin-protein ligase DTX3(LOC100620343)
ENSSSCG00000002385	397400	Sus scrofa	transforming growth factor beta 3(TGFB3)
ENSSSCG00000015324	100522202	Sus scrofa	G protein subunit gamma 11(GNG11)
ENSSSCG00000017672	100628203	Sus scrofa	mediator of RNA polymerase II transcription subunit 13(LOC100628203)
ENSSSCG00000000620	494567	Sus scrofa	heme binding protein 1(HEBP1)
ENSSSCG00000007232	100525721	Sus scrofa	dual specificity phosphatase 15(DUSP15)
ENSSSCG00000017674	100739605	Sus scrofa	mediator of RNA polymerase II transcription subunit 13-like(LOC100739605)
ENSSSCG00000015322	100520144	Sus scrofa	tissue factor pathway inhibitor 2(TFPI2)
ENSSSCG00000000623	100514901	Sus scrofa	BCL2 like 14(BCL2L14)
ENSSSCG00000010259	100157601	Sus scrofa	trypsin domain containing 1(TYSND1)
ENSSSCG00000000442	100518554	Sus scrofa	inhibin beta E subunit(INHBE)
ENSSSCG00000006396	100625319	Sus scrofa	protein turtle homolog A(LOC100625319)
ENSSSCG00000015329	100621071	Sus scrofa	neurabin-1(LOC100621071)
ENSSSCG00000011904	100144488	Sus scrofa	uroplakin 1B(UPK1B)
ENSSSCG00000020846	100628076	Sus scrofa	scavenger receptor class A member 3(SCARA3)
ENSSSCG00000000240	100524022	Sus scrofa	keratin, type II cuticular Hb5(LOC100524022)
ENSSSCG00000008562	100513653	Sus scrofa	solute carrier family 35 member F6(SLC35F6)
ENSSSCG00000024696	100520645	Sus scrofa	cyclin Y like 1(CCNYL1)
ENSSSCG00000015525	100196908	Sus scrofa	torsin family 3 member A(TOR3A)
ENSSSCG00000017472	100144490	Sus scrofa	insulin like growth factor binding protein 4(IGFBP4)
ENSSSCG00000011133	100516289	Sus scrofa	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3(PFKFB3)
ENSSSCG00000024697	100519781	Sus scrofa	transmembrane protein 125(TMEM125)
ENSSSCG00000008962	100620969	Sus scrofa	epiregulin(EREG)
ENSSSCG00000010261	100155201	Sus scrofa	pyrophosphatase (inorganic) 1(PPA1)
ENSSSCG00000009171	100525061	Sus scrofa	B-cell scaffold protein with ankyrin repeats(LOC100525061)
ENSSSCG00000000435	100517400	Sus scrofa	rho guanine nucleotide exchange factor 25(LOC100517400)
ENSSSCG00000002379	100155997	Sus scrofa	acylphosphatase 1(ACYP1)
ENSSSCG00000000436	100520306	Sus scrofa	phosphatidylinositol 5-phosphate 4-kinase type-2 gamma(LOC100520306)
ENSSSCG00000002376	100156404	Sus scrofa	placental growth factor(PGF)
ENSSSCG00000015334	100286778	Sus scrofa	pyruvate dehydrogenase kinase 4(PDK4)
ENSSSCG00000009170	100524883	Sus scrofa	B-cell scaffold protein with ankyrin repeats-like(LOC100524883)
ENSSSCG00000004110	100156182	Sus scrofa	TGF-beta activated kinase 1/MAP3K7 binding protein 2(TAB2)
ENSSSCG00000011912	100514190	Sus scrofa	queuine tRNA-ribosyltransferase accessory subunit 2(QTRT2)
ENSSSCG00000009817	497623	Sus scrofa	purinergic receptor P2X 7(P2RX7)
ENSSSCG00000022303	100153073	Sus scrofa	solute carrier family 25 member 16(SLC25A16)
ENSSSCG00000021443	100625739	Sus scrofa	serum/glucocorticoid regulated kinase 1(SGK1)
ENSSSCG00000015340	100312961	Sus scrofa	asparagine synthetase (glutamine-hydrolyzing)(ASNS)
ENSSSCG00000012258	100518350	Sus scrofa	FUN14 domain containing 1(FUNDC1)
ENSSSCG00000008959	414904	Sus scrofa	chemokine (C-X-C motif) ligand 2(CXCL2)
ENSSSCG00000015886	100037276	Sus scrofa	integrin subunit beta 6(ITGB6)
ENSSSCG00000003847	100515733	Sus scrofa	DMRT like family B with proline rich C-terminal 1(DMRTB1)
ENSSSCG00000008953	396880	Sus scrofa	C-X-C motif chemokine ligand 8(CXCL8)
